0 strains,1 strain,2 strains,3 or more strains
2031519,4479372,4324280,4164829
2029240,4481490,4328958,4160312
2030412,4483038,4326547,4160003
2028651,4482455,4330112,4158782
2027763,4480331,4329340,4162566
2029125,4482086,4327107,4161682
2029399,4482278,4330020,4158303
2029770,4483712,4328250,4158268
2029486,4482624,4330483,4157407
2028353,4485124,4325180,4161343
2031845,4481830,4324761,4161564
2030638,4480910,4327877,4160575
2028851,4486264,4326045,4158840
2029426,4482835,4328017,4159722
2030366,4478760,4329487,4161387
2032917,4480371,4327573,4159139
2030524,4480559,4328556,4160361
2029951,4480035,4330414,4159600
2030262,4481743,4326969,4161026
2026288,4484200,4329052,4160460
2029717,4479605,4330043,4160635
2029131,4482548,4329457,4158864
2028602,4480825,4329509,4161064
2028943,4480501,4328944,4161612
2028694,4483986,4327151,4160169
2029130,4480057,4329529,4161284
2030216,4483351,4325435,4160998
2029685,4485518,4325521,4159276
2030355,4479740,4326399,4163506
2029260,4478788,4330668,4161284
2028223,4480136,4330058,4161583
2029868,4480269,4327614,4162249
2031125,4481676,4328693,4158506
2031388,4481774,4326225,4160613
2031885,4475845,4327495,4164775
2031146,4479093,4329015,4160746
2031424,4478709,4330589,4159278
2030597,4477911,4329738,4161754
2029119,4482163,4328279,4160439
2030001,4480182,4329217,4160600
2029708,4483425,4329101,4157766
2030335,4481785,4326999,4160881
2031404,4482124,4328007,4158465
2033591,4480666,4325499,4160244
2029715,4481667,4327088,4161530
2029241,4479299,4330072,4161388
2030272,4481272,4326423,4162033
2030021,4479298,4328530,4162151
2029460,4483009,4328082,4159449
2030021,4481182,4325212,4163585
2029102,4484407,4325782,4160709
2028274,4485201,4324897,4161628
2030247,4478743,4326965,4164045
2029371,4479172,4329728,4161729
2033096,4480529,4327406,4158969
2031502,4484483,4326349,4157666
2029660,4481324,4330377,4158639
2030059,4480809,4329303,4159829
2030896,4481067,4325780,4162257
2028121,4483247,4330150,4158482
2031006,4479463,4326775,4162756
2030769,4482304,4329148,4157779
2031177,4479384,4328341,4161098
2028991,4478160,4331226,4161623
2030354,4482982,4329564,4157100
2030379,4481096,4328863,4159662
2029934,4481658,4327402,4161006
2030492,4480804,4328327,4160377
2028332,4483221,4329887,4158560
2030766,4480810,4328767,4159657
2028750,4482384,4327276,4161590
2030695,4478729,4328307,4162269
2030284,4485130,4325997,4158589
2029143,4481780,4331451,4157626
2028294,4480828,4330238,4160640
2030681,4484002,4326312,4159005
2029066,4482717,4327666,4160551
2026957,4483640,4324914,4164489
2029799,4479971,4325307,4164923
2030788,4483244,4326076,4159892
2030916,4480436,4329337,4159311
2030816,4481002,4329774,4158408
2029980,4481706,4326634,4161680
2032114,4476731,4327391,4163764
2032293,4480760,4327056,4159891
2030315,4478738,4329928,4161019
2028425,4481570,4325895,4164110
2028739,4483627,4326500,4161134
2032006,4486057,4323897,4158040
2028199,4479645,4332896,4159260
2030075,4479150,4329214,4161561
2029076,4484687,4327267,4158970
2030525,4480452,4329238,4159785
2028653,4484584,4324289,4162474
2029100,4483046,4327125,4160729
2028484,4482666,4327580,4161270
2030136,4481545,4328169,4160150
2028836,4481575,4329704,4159885
2028593,4484772,4328467,4158168
2030162,4482164,4325377,4162297
2030576,4480038,4328241,4161145
2028381,4478836,4331592,4161191
2031466,4480903,4324998,4162633
2028964,4475083,4331733,4164220
2029973,4482129,4327936,4159962
2032032,4479403,4326853,4161712
2029530,4480265,4328625,4161580
2029832,4478508,4330252,4161408
2030262,4483321,4329680,4156737
2027626,4485618,4327492,4159264
2028891,4481505,4327904,4161700
2028293,4483739,4328698,4159270
2030504,4483887,4328739,4156870
2029249,4483794,4328515,4158442
2028385,4484481,4326927,4160207
2029103,4480834,4332124,4157939
2031889,4479918,4327990,4160203
2028311,4481962,4328389,4161338
2031084,4482757,4327010,4159149
2030244,4480971,4328243,4160542
2030293,4479440,4329688,4160579
2029910,4481212,4326637,4162241
2030751,4478245,4329370,4161634
2028312,4480106,4330864,4160718
2027915,4477854,4330419,4163812
2029917,4482357,4328097,4159629
2030267,4479555,4330707,4159471
2029496,4480454,4327663,4162387
2027762,4482941,4329930,4159367
2031035,4480229,4326898,4161838
2029645,4484610,4325427,4160318
2029692,4479941,4329710,4160657
2028249,4478840,4334278,4158633
2031246,4482288,4327173,4159293
2029157,4481415,4330238,4159190
2028944,4483326,4328309,4159421
2031200,4480784,4328532,4159484
2029837,4483477,4326502,4160184
2031860,4480055,4328072,4160013
2028687,4479925,4327235,4164153
2031488,4479765,4327618,4161129
2030502,4482989,4327191,4159318
2028786,4482703,4327884,4160627
2028511,4483986,4327229,4160274
2027635,4481896,4328433,4162036
2030717,4480483,4327288,4161512
2030407,4481429,4329701,4158463
2030263,4480660,4328725,4160352
2029989,4482905,4328013,4159093
2028567,4483197,4329914,4158322
2031987,4478539,4328996,4160478
2031336,4478772,4328174,4161718
2029200,4478858,4332484,4159458
2031419,4479922,4327849,4160810
2029925,4481717,4329543,4158815
2030742,4484242,4325331,4159685
2028425,4477699,4330356,4163520
2027565,4483692,4327513,4161230
2031206,4483466,4325900,4159428
2030547,4481909,4327446,4160098
2031408,4479542,4328946,4160104
2028569,4480578,4327629,4163224
2032166,4481555,4329243,4157036
2029193,4481473,4328133,4161201
2031441,4482388,4325188,4160983
2029982,4482190,4326323,4161505
2029953,4479951,4327952,4162144
2030449,4481597,4328292,4159662
2028984,4480397,4329658,4160961
2031792,4480523,4329489,4158196
2031234,4478574,4328280,4161912
2032048,4478093,4327642,4162217
2031448,4480830,4327491,4160231
2028939,4482969,4328935,4159157
2030549,4480148,4328185,4161118
2030931,4477925,4325775,4165369
2031197,4476928,4326802,4165073
2028406,4486659,4326974,4157961
2028680,4482142,4329355,4159823
2032582,4480898,4327856,4158664
2032351,4481731,4324976,4160942
2029485,4480874,4326707,4162934
2032762,4480545,4326012,4160681
2030255,4482263,4327639,4159843
2031172,4479777,4327986,4161065
2031265,4481330,4328723,4158682
2029136,4484265,4325962,4160637
2030305,4481882,4326900,4160913
2030436,4481868,4326568,4161128
2028430,4483723,4326321,4161526
2027778,4481986,4328906,4161330
2028310,4484089,4326449,4161152
2030456,4481665,4329658,4158221
2030056,4478179,4329389,4162376
2030944,4479191,4331114,4158751
2030132,4478041,4328054,4163773
2026876,4480590,4329911,4162623
2030242,4481166,4327503,4161089
2029118,4482080,4329238,4159564
2030651,4481653,4329141,4158555
2032898,4478978,4326315,4161809
2032630,4481147,4324531,4161692
2033479,4479048,4328463,4159010
2031169,4481503,4327523,4159805
2032320,4480439,4328261,4158980
2033746,4480739,4327543,4157972
2031882,4483834,4326899,4157385
2031007,4477645,4328973,4162375
2029181,4479966,4327016,4163837
2031351,4479551,4327027,4162071
2032680,4480205,4327684,4159431
2029515,4477343,4330679,4162463
2028428,4481787,4329600,4160185
2033520,4480230,4327932,4158318
2029181,4478672,4329386,4162761
2029164,4482521,4329191,4159124
2026737,4484184,4327544,4161535
2028510,4480222,4327030,4164238
2029183,4484351,4326635,4159831
2028630,4483243,4327468,4160659
2031189,4482378,4327172,4159261
2028902,4479477,4331257,4160364
2032159,4481749,4327247,4158845
2031320,4481540,4326541,4160599
2027569,4481555,4328995,4161881
2030768,4477516,4329395,4162321
2028785,4480338,4329615,4161262
2031197,4482141,4327855,4158807
2029917,4482521,4328439,4159123
2032089,4481023,4325659,4161229
2032717,4479894,4326880,4160509
2030312,4483195,4326245,4160248
2031449,4480850,4326088,4161613
2028599,4482196,4328377,4160828
2030283,4482996,4328475,4158246
2030563,4483602,4325766,4160069
2029891,4481969,4326696,4161444
2033412,4481114,4328726,4156748
2028439,4482655,4330767,4158139
2028571,4481739,4326594,4163096
2030888,4480501,4328407,4160204
2032466,4479367,4329466,4158701
2028136,4481137,4329942,4160785
2031403,4481168,4328550,4158879
2030264,4478833,4330532,4160371
2028570,4476778,4332196,4162456
2030694,4479331,4327066,4162909
2029212,4481483,4332489,4156816
2031518,4483082,4326705,4158695
2028642,4478555,4331507,4161296
2032493,4479168,4328450,4159889
2030164,4481873,4326361,4161602
2027478,4482864,4328018,4161640
2030098,4480817,4328499,4160586
2030566,4481727,4327164,4160543
2029649,4481011,4325779,4163561
2028084,4483226,4326680,4162010
2031173,4481900,4328006,4158921
2029540,4479939,4327319,4163202
2030831,4478847,4331375,4158947
2029989,4482301,4325285,4162425
2028910,4484327,4327374,4159389
2030117,4480092,4329749,4160042
2030172,4480365,4328002,4161461
2029411,4479244,4328858,4162487
2030609,4480956,4327690,4160745
2028812,4478859,4328789,4163540
2028823,4481633,4328703,4160841
2031320,4478223,4326994,4163463
2028659,4481732,4329214,4160395
2029761,4480578,4326679,4162982
2030191,4479541,4326386,4163882
2029390,4480326,4328509,4161775
2030148,4482804,4325322,4161726
2029171,4482890,4328989,4158950
2030144,4478884,4332115,4158857
2031339,4482845,4326450,4159366
2029529,4480933,4326229,4163309
2027897,4481129,4329237,4161737
2030200,4481476,4326858,4161466
2028829,4481363,4330569,4159239
2029969,4484412,4326708,4158911
2030186,4480921,4329542,4159351
2031210,4483019,4326924,4158847
2030409,4483851,4326369,4159371
2029564,4483333,4325906,4161197
2030736,4480006,4328165,4161093
2030310,4481930,4327326,4160434
2031775,4478929,4327851,4161445
2029769,4480560,4330875,4158796
2029372,4482581,4331245,4156802
2029086,4479470,4328123,4163321
2030009,4480612,4329123,4160256
2029605,4481642,4329264,4159489
2029042,4480067,4330123,4160768
2029420,4482011,4329252,4159317
2029127,4483536,4324501,4162836
2030558,4480948,4328818,4159676
2031783,4481126,4326523,4160568
2032104,4480763,4328516,4158617
2030214,4481342,4327037,4161407
2028840,4479549,4331170,4160441
