0 strains,1 strain,2 strains,3 or more strains
2031512,4289466,4273664,4405358
2030722,4289517,4273228,4406533
2029286,4287847,4276130,4406737
2030366,4288522,4276785,4404327
2029598,4288442,4273156,4408804
2029818,4289581,4274337,4406264
2028666,4290278,4273006,4408050
2029533,4289105,4273709,4407653
2031285,4289301,4273636,4405778
2031641,4292414,4271738,4404207
2030741,4289357,4272969,4406933
2030885,4286156,4273653,4409306
2031228,4285790,4274678,4408304
2031081,4287634,4275530,4405755
2031563,4286162,4274702,4407573
2028813,4288760,4272578,4409849
2029822,4289263,4274357,4406558
2030237,4288091,4275143,4406529
2029512,4289947,4272978,4407563
2028640,4289793,4275161,4406406
2030288,4288822,4274067,4406823
2032880,4286299,4271886,4408935
2031470,4288899,4274063,4405568
2031017,4287585,4274718,4406680
2030465,4288500,4275595,4405440
2031730,4288688,4271805,4407777
2030737,4286999,4276863,4405401
2027844,4289662,4277084,4405410
2030567,4287674,4273002,4408757
2029830,4288199,4274307,4407664
2029892,4289061,4273373,4407674
2028782,4287079,4277380,4406759
2031039,4285353,4275416,4408192
2030476,4287785,4274616,4407123
2028020,4292354,4274240,4405386
2029265,4290835,4272499,4407401
2030632,4290479,4272080,4406809
2030041,4290111,4275787,4404061
2030218,4286557,4274468,4408757
2028795,4287674,4275408,4408123
2028926,4290888,4274307,4405879
2030681,4287615,4276746,4404958
2031367,4288661,4274322,4405650
2029274,4287965,4277345,4405416
2029420,4285800,4277203,4407577
2029796,4290483,4276380,4403341
2029574,4287253,4275441,4407732
2027987,4286321,4277406,4408286
2031960,4287919,4272001,4408120
2030961,4290074,4270468,4408497
2028464,4293350,4273380,4404806
2030738,4285191,4277366,4406705
2030584,4283510,4275537,4410369
2028648,4285118,4276921,4409313
2029951,4287461,4274186,4408402
2030028,4288123,4272521,4409328
2027801,4290891,4274263,4407045
2030557,4289599,4270701,4409143
2032893,4287193,4276628,4403286
2030701,4289444,4272785,4407070
2030800,4286857,4275107,4407236
2030587,4288045,4275522,4405846
2031523,4287809,4273605,4407063
2029964,4286444,4275597,4407995
2031221,4286019,4275156,4407604
2029047,4290550,4273986,4406417
2029311,4286428,4275607,4408654
2030637,4288152,4274018,4407193
2029851,4290092,4272103,4407954
2030626,4292864,4270711,4405799
2030063,4288881,4274559,4406497
2031687,4286348,4274891,4407074
2028751,4289657,4272511,4409081
2032048,4287236,4274190,4406526
2029871,4290562,4272280,4407287
2031359,4286154,4278733,4403754
2031140,4287477,4276013,4405370
2030196,4289178,4276825,4403801
2027995,4290337,4275589,4406079
2030826,4287534,4272852,4408788
2030161,4289665,4272284,4407890
2030884,4287898,4273071,4408147
2030986,4286641,4274204,4408169
2030429,4288827,4273785,4406959
2029707,4287730,4273693,4408870
2031480,4288514,4276336,4403670
2028438,4286800,4276836,4407926
2031560,4287506,4274574,4406360
2031674,4288100,4273328,4406898
2029957,4290227,4274041,4405775
2031208,4288781,4273173,4406838
2028567,4288774,4274769,4407890
2028137,4287976,4273648,4410239
2030428,4287935,4276510,4405127
2027622,4289073,4273229,4410076
2030346,4288072,4272409,4409173
2027328,4288607,4276166,4407899
2029043,4290732,4272894,4407331
2031318,4285967,4275819,4406896
2028000,4290306,4274125,4407569
2030623,4288196,4274947,4406234
2029012,4290373,4276142,4404473
2030387,4289931,4273447,4406235
2029727,4289655,4272604,4408014
2029512,4286945,4275729,4407814
2031960,4289997,4271497,4406546
2030642,4288142,4274454,4406762
2030948,4287166,4272648,4409238
2030608,4290124,4276393,4402875
2029006,4291640,4276024,4403330
2028943,4286755,4278465,4405837
2030406,4288563,4274744,4406287
2028699,4283927,4277798,4409576
2031287,4288751,4272814,4407148
2029640,4290423,4272832,4407105
2029462,4288772,4276474,4405292
2028986,4289513,4271679,4409822
2030754,4289490,4273293,4406463
2029842,4289266,4271863,4409029
2033069,4289326,4273611,4403994
2029379,4290422,4274835,4405364
2027542,4286760,4275523,4410175
2030755,4286526,4273539,4409180
2029080,4289851,4274045,4407024
2029743,4288599,4276732,4404926
2030197,4288785,4274335,4406683
2028185,4289097,4275915,4406803
2030794,4289559,4272554,4407093
2033796,4286284,4273149,4406771
2031585,4289193,4274273,4404949
2028705,4291025,4273629,4406641
2028763,4288468,4272339,4410430
2029019,4286773,4277790,4406418
2028625,4288945,4270963,4411467
2032320,4288567,4272649,4406464
2027228,4286992,4275312,4410468
2029994,4292742,4273678,4403586
2030105,4285974,4274601,4409320
2028345,4287634,4275762,4408259
2030354,4287603,4271598,4410445
2029436,4288658,4274682,4407224
2031182,4287626,4272863,4408329
2028890,4287990,4275595,4407525
