0 strains,1 strain,2 strains,3 or more strains
2030085,4240357,4236024,4493534
2030996,4240673,4233348,4494983
2032341,4239097,4232464,4496098
2030228,4242649,4232117,4495006
2030404,4242433,4233561,4493602
2032489,4241710,4232852,4492949
2029572,4244700,4231735,4493993
2033972,4238950,4234968,4492110
2027827,4245165,4231561,4495447
2030651,4239470,4236203,4493676
2029281,4243297,4232324,4495098
2029897,4241402,4234016,4494685
2031187,4241239,4235940,4491634
2027714,4243595,4235627,4493064
2030903,4244837,4232479,4491781
2028486,4242638,4234748,4494128
2029153,4242446,4232904,4495497
2028132,4242947,4231794,4497127
2031322,4244204,4231236,4493238
2030705,4239894,4231231,4498170
2031789,4241940,4231723,4494548
2030873,4243312,4230805,4495010
2029486,4244355,4231820,4494339
2031611,4244884,4232347,4491158
2031696,4244654,4231163,4492487
2031431,4242612,4232404,4493553
2031917,4242733,4233732,4491618
2030258,4240252,4234842,4494648
2030495,4240350,4233839,4495316
2031541,4243955,4233263,4491241
2029710,4243445,4233125,4493720
2033478,4242661,4233129,4490732
2029684,4241888,4235639,4492789
2032549,4242480,4233312,4491659
2031054,4239472,4235509,4493965
2029052,4242510,4234010,4494428
2030766,4236971,4233836,4498427
2026505,4242350,4236720,4494425
2031916,4238875,4234663,4494546
2029273,4243243,4233534,4493950
2030849,4241896,4235003,4492252
2030427,4240995,4232879,4495699
2031610,4243017,4230855,4494518
2030339,4245239,4232015,4492407
2027767,4246018,4232994,4493221
2030475,4245697,4234804,4489024
2030123,4243797,4232318,4493762
2031698,4243061,4229466,4495775
2030217,4240255,4236363,4493165
2029028,4242056,4232462,4496454
2029427,4241195,4234427,4494951
2032047,4244394,4229623,4493936
2028593,4244002,4232800,4494605
2032250,4239403,4232600,4495747
2030648,4242785,4231529,4495038
2027969,4248061,4231697,4492273
2028508,4238562,4233136,4499794
2032120,4242033,4232573,4493274
2031454,4243958,4230967,4493621
2027930,4243094,4234233,4494743
2032457,4237583,4234261,4495699
2031518,4238300,4236070,4494112
2031376,4244503,4233472,4490649
2032107,4243058,4230443,4494392
2029565,4243330,4235815,4491290
2029898,4241297,4232907,4495898
2030226,4241310,4234166,4494298
2029377,4242244,4234447,4493932
2030390,4243989,4233373,4492248
2028638,4243213,4231917,4496232
2028159,4242048,4234775,4495018
2029712,4242943,4232539,4494806
2029610,4241277,4234325,4494788
2029434,4240588,4233982,4495996
2030305,4239553,4235446,4494696
2030760,4241976,4232501,4494763
2030012,4243470,4234260,4492258
2029394,4238822,4236127,4495657
2026756,4244689,4233784,4494771
2030123,4242365,4233261,4494251
2029712,4243716,4229760,4496812
