0 strains,1 strain,2 strains,3 or more strains
2250394,4386401,4175869,4187335
2251279,4385239,4171424,4192057
2250110,4387520,4176221,4186148
2252485,4389571,4174140,4183803
2251550,4386493,4173770,4188186
2254256,4386736,4174366,4184641
2251274,4389237,4175330,4184158
2255172,4388377,4171564,4184886
2253422,4387146,4173646,4185785
2253644,4387206,4175558,4183591
2252866,4384225,4176553,4186355
2252521,4388625,4172022,4186831
2253236,4388171,4174413,4184179
2251586,4386592,4174474,4187347
2255464,4387001,4171077,4186457
2252432,4385926,4173855,4187786
2252040,4384400,4176633,4186926
2252884,4385559,4173097,4188459
2253132,4385957,4174081,4186829
2252929,4387850,4175930,4183290
2252376,4388119,4173760,4185744
2253836,4383468,4174891,4187804
2251906,4387690,4171328,4189075
2254276,4383880,4171711,4190132
2253578,4385243,4176908,4184270
2250507,4386175,4172939,4190378
2254962,4386418,4174705,4183914
2253179,4386419,4173511,4186890
2251776,4388173,4174097,4185953
2251389,4385369,4175682,4187559
2252384,4386292,4172051,4189272
2251121,4386416,4172972,4189490
2255718,4383736,4172845,4187700
2253462,4384300,4175223,4187014
2252869,4388145,4175065,4183920
2251483,4385294,4176201,4187021
2254484,4387653,4172012,4185850
2251356,4385555,4176539,4186549
2251971,4386989,4175712,4185327
2252520,4390116,4172787,4184576
2253311,4384371,4175295,4187022
2251830,4387300,4172494,4188375
2254030,4386702,4173305,4185962
2252095,4385094,4173999,4188811
2252103,4386729,4173680,4187487
2252933,4385669,4173419,4187978
2252300,4387486,4175770,4184443
2253602,4387142,4170243,4189012
2252888,4387359,4172052,4187700
2250189,4388166,4174275,4187369
2255341,4384281,4172092,4188285
2252162,4389183,4171324,4187330
2252705,4387256,4172811,4187227
2252794,4385861,4174783,4186561
2253581,4385050,4172940,4188428
2252925,4385797,4173679,4187598
2253451,4384959,4173684,4187905
2251494,4389281,4174579,4184645
2255054,4387370,4172512,4185063
2252532,4385153,4174519,4187795
2252164,4387201,4174436,4186198
2252810,4388798,4172555,4185836
2252448,4387875,4173498,4186178
2252098,4385170,4173034,4189697
2254380,4387217,4172396,4186006
2252241,4385590,4172981,4189187
2249858,4388502,4173388,4188251
2252378,4385110,4174837,4187674
2251849,4386949,4173186,4188015
2252707,4388405,4170926,4187961
2254042,4385922,4173468,4186567
2251960,4383907,4176872,4187260
2252297,4386035,4172809,4188858
2254940,4385588,4173397,4186074
2250802,4387500,4173885,4187812
2252728,4383791,4177269,4186211
2250416,4389392,4170395,4189796
2253355,4383704,4173556,4189384
2250617,4388238,4175147,4185997
2255737,4385529,4173023,4185710
2252745,4386119,4174361,4186774
2252551,4386967,4174084,4186397
2251560,4385769,4177078,4185592
2249204,4386696,4173589,4190510
2251375,4385040,4175073,4188511
2253421,4386450,4174213,4185915
2251993,4386392,4173621,4187993
2253732,4383097,4173928,4189242
2251914,4382895,4177478,4187712
2252538,4386087,4173708,4187666
2251994,4386017,4176164,4185824
2254388,4381679,4174305,4189627
2251605,4386535,4175705,4186154
2254926,4384665,4176762,4183646
2253612,4388605,4170278,4187504
2254365,4384993,4173193,4187448
2251273,4382294,4178007,4188425
2252079,4385936,4174037,4187947
2254697,4384144,4174635,4186523
2251037,4387568,4173192,4188202
2252384,4388675,4172388,4186552
2254121,4385222,4173946,4186710
2251670,4386101,4174146,4188082
2253337,4389049,4171717,4185896
2253448,4383775,4177632,4185144
2252500,4386769,4174721,4186009
2251801,4386804,4174123,4187271
2252495,4384965,4174653,4187886
2252234,4386348,4174706,4186711
2254684,4388147,4170885,4186283
2252633,4387609,4174702,4185055
2253342,4383007,4172644,4191006
2252214,4383332,4175562,4188891
2252848,4388523,4171041,4187587
2250670,4388584,4174189,4186556
2252259,4388093,4173105,4186542
2253433,4384713,4176167,4185686
2253905,4386580,4175037,4184477
2253612,4386483,4171898,4188006
2252595,4386362,4173448,4187594
2249604,4386899,4175895,4187601
2253666,4388439,4171334,4186560
2255393,4385686,4172768,4186152
2253614,4386613,4175931,4183841
2254348,4386516,4172812,4186323
2252032,4386269,4173859,4187839
2255732,4382327,4176668,4185272
2255214,4382067,4176963,4185755
2252950,4385861,4174849,4186339
2253887,4385534,4174671,4185907
2252454,4384394,4177378,4185773
2254857,4385837,4171500,4187805
2252331,4385134,4174038,4188496
2253475,4388907,4170952,4186665
2250326,4386209,4176298,4187166
2251450,4386439,4174559,4187551
2251170,4385881,4174726,4188222
2252508,4387488,4173059,4186944
2252770,4387131,4171649,4188449
2251861,4387260,4171887,4188991
2251853,4388162,4175232,4184752
2251224,4387414,4175743,4185618
2252794,4390874,4172148,4184183
2254738,4384585,4173412,4187264
2253004,4384134,4174616,4188245
2254142,4385978,4174446,4185433
2253439,4387956,4171287,4187317
2252626,4385906,4176540,4184927
2254693,4384101,4173681,4187524
2253708,4387467,4174215,4184609
2251575,4386322,4176143,4185959
2255259,4387790,4170309,4186641
2250455,4386798,4173992,4188754
2253725,4384253,4172535,4189486
2254816,4383136,4175180,4186867
2253747,4382575,4176806,4186871
2252707,4386509,4173425,4187358
2249054,4390305,4173590,4187050
2252182,4385867,4172936,4189014
2253600,4385576,4174374,4186449
2252421,4383115,4173773,4190690
2253374,4384349,4178724,4183552
2252862,4387954,4174826,4184357
2254879,4382985,4175031,4187104
2253225,4386646,4174278,4185850
2252760,4386353,4174882,4186004
2253961,4384143,4173896,4187999
2253443,4384639,4173053,4188864
2253232,4386471,4173345,4186951
2253623,4383630,4177301,4185445
2252421,4386416,4173885,4187277
2250834,4388239,4174747,4186179
2254478,4386310,4173700,4185511
2253539,4386551,4171039,4188870
2253092,4386036,4174801,4186070
2252909,4387029,4173556,4186505
2254137,4383870,4174862,4187130
2256673,4385778,4171579,4185969
2253352,4386273,4173121,4187253
2250542,4385636,4176516,4187305
2251122,4388352,4172215,4188310
2253101,4389048,4173962,4183888
2251887,4389662,4172241,4186209
2255315,4382491,4177746,4184447
2253528,4385135,4174948,4186388
2251673,4385808,4174082,4188436
2249637,4386329,4176400,4187633
2252587,4386045,4174280,4187087
2253855,4387438,4174726,4183980
2252080,4385584,4174944,4187391
2250297,4387376,4173732,4188594
2252216,4387801,4173487,4186495
2255986,4386814,4174271,4182928
2250026,4389919,4171423,4188631
2253052,4384377,4172604,4189966
2254368,4386498,4173278,4185855
2253838,4382125,4174804,4189232
2254453,4384075,4173483,4187988
2251442,4386907,4173989,4187661
2251482,4385652,4173912,4188953
2254933,4385746,4171337,4187983
2253875,4384872,4175582,4185670
2254078,4387004,4173339,4185578
2252059,4387874,4172926,4187140
2252575,4383635,4177397,4186392
2251338,4389508,4170041,4189112
2252659,4385180,4174329,4187831
2250112,4386293,4174267,4189327
2253526,4387340,4173246,4185887
2254653,4385541,4174441,4185364
2255136,4384554,4172182,4188127
2250604,4387429,4173403,4188563
2255340,4386623,4173493,4184543
2254424,4388104,4170690,4186781
2253634,4384281,4174565,4187519
2252957,4385929,4172764,4188349
2251448,4386137,4171020,4191394
2253023,4385097,4174702,4187177
2253891,4387504,4170768,4187836
2253011,4386693,4170995,4189300
2253494,4386902,4172978,4186625
2254088,4384584,4172393,4188934
2253833,4386200,4172007,4187959
2252756,4385936,4172619,4188688
2252272,4386545,4171022,4190160
2252130,4386994,4172406,4188469
2255677,4386513,4170280,4187529
2251838,4385188,4175831,4187142
2254479,4384898,4172616,4188006
2254003,4388442,4174232,4183322
2252196,4385987,4174266,4187550
2253074,4385050,4176092,4185783
2252049,4388235,4173613,4186102
2252523,4387443,4172155,4187878
2250095,4389248,4173195,4187461
2253441,4388472,4170907,4187179
2253511,4385484,4176237,4184767
2253220,4387943,4175207,4183629
2250550,4389642,4172643,4187164
2250835,4387465,4173530,4188169
2251033,4386391,4177164,4185411
2251931,4387646,4174853,4185569
2254165,4384704,4173162,4187968
2252491,4383299,4175049,4189160
2252210,4384601,4174289,4188899
2252853,4384477,4173433,4189236
2252249,4387726,4172053,4187971
2251390,4387507,4171859,4189243
2254755,4382418,4176168,4186658
2253058,4388049,4172927,4185965
2255118,4389123,4170824,4184934
2252286,4387228,4174716,4185769
2249960,4387469,4175660,4186910
2253009,4387761,4172654,4186575
2253199,4384969,4172513,4189318
2252645,4385975,4172607,4188772
2252249,4389229,4173060,4185461
2253177,4384727,4175953,4186142
2251901,4385384,4173613,4189101
2252691,4384850,4174667,4187791
2253196,4386370,4174806,4185627
2252233,4386755,4176843,4184168
2250864,4387414,4174746,4186975
2251510,4383558,4177266,4187665
2254503,4385528,4173347,4186621
2252217,4385000,4174815,4187967
2250342,4385162,4176472,4188023
2254061,4384533,4174712,4186693
2255522,4385935,4170495,4188047
2254202,4385672,4172533,4187592
2251744,4388607,4173381,4186267
2250748,4386404,4173621,4189226
2253165,4389220,4170777,4186837
2254332,4383621,4172415,4189631
2252533,4384094,4175173,4188199
2252937,4390475,4172204,4184383
2252135,4386926,4175015,4185923
2252877,4388669,4171091,4187362
2255035,4385752,4172233,4186979
2251601,4384022,4175180,4189196
2251948,4387732,4174971,4185348
2252070,4387065,4173646,4187218
2252397,4387987,4172731,4186884
2253424,4385136,4174989,4186450
2253396,4385935,4171292,4189376
2252501,4386636,4172924,4187938
2251258,4388885,4176846,4183010
2251866,4386319,4172807,4189007
2252386,4386960,4174849,4185804
2253532,4381909,4175468,4189090
2250132,4388305,4175176,4186386
2251750,4387880,4173523,4186846
2254626,4385114,4173275,4186984
2253530,4388408,4171600,4186461
2252732,4389226,4172468,4185573
2250771,4385782,4173907,4189539
2252337,4385013,4176986,4185663
2253204,4384325,4172805,4189665
2254998,4385115,4174751,4185135
2255106,4385990,4172351,4186552
2252395,4384969,4174254,4188381
2250805,4387095,4173203,4188896
