0 strains,1 strain,2 strains,3 or more strains
2076618,4287011,4228768,4407603
2074521,4281899,4227937,4415643
2073650,4283832,4230595,4411923
2075203,4287386,4227623,4409788
2075125,4285604,4227468,4411803
2074586,4283084,4229979,4412351
2074336,4283607,4228563,4413494
2073533,4285177,4227406,4413884
2073975,4286626,4227180,4412219
2074539,4285810,4228723,4410928
2075777,4284657,4229456,4410110
2075090,4285590,4227388,4411932
2075906,4284900,4229811,4409383
2075818,4285876,4225929,4412377
2075146,4287383,4226038,4411433
2074386,4285495,4231115,4409004
2075369,4285000,4225190,4414441
2073908,4284603,4228295,4413194
2073843,4285303,4230531,4410323
2073483,4287660,4228392,4410465
2074584,4285859,4227624,4411933
2075413,4284770,4228952,4410865
2075540,4280626,4231944,4411890
2071890,4285846,4229846,4412418
2075249,4285625,4227305,4411821
2073589,4288763,4229693,4407955
2074470,4284892,4229368,4411270
2074138,4289889,4228252,4407721
2075724,4282590,4228794,4412892
2074747,4283846,4230914,4410493
2074635,4287202,4228129,4410034
2074533,4286638,4227358,4411471
2074291,4287491,4229122,4409096
2073078,4284656,4229553,4412713
2074564,4285896,4228357,4411183
2075371,4287060,4226214,4411355
2075688,4285791,4226262,4412259
2074443,4284861,4230291,4410405
2074885,4286087,4229401,4409627
2074328,4283698,4228361,4413613
2076520,4285374,4229547,4408559
2074470,4287057,4227476,4410997
2073922,4284437,4227610,4414031
2073273,4285785,4230344,4410598
2074731,4287044,4227738,4410487
2074413,4284384,4229029,4412174
2075332,4283784,4230928,4409956
2075617,4284984,4227674,4411725
2074856,4286359,4229443,4409342
2074892,4283041,4227720,4414347
2075731,4286919,4227283,4410067
2074873,4284239,4228033,4412855
2075035,4282293,4228215,4414457
2072801,4283532,4232205,4411462
2075415,4282486,4228349,4413750
2074800,4283211,4227108,4414881
2073636,4286380,4229715,4410269
2075145,4282875,4228620,4413360
2075404,4286005,4227304,4411287
2078392,4285638,4224333,4411637
2073299,4285440,4228952,4412309
2073909,4285209,4229478,4411404
2074371,4286710,4226994,4411925
2074742,4285654,4231122,4408482
2074512,4284093,4231875,4409520
2076216,4289380,4227283,4407121
2073040,4288618,4227155,4411187
2072951,4286449,4228925,4411675
2073627,4285747,4229656,4410970
2074274,4287093,4225078,4413555
2074408,4286769,4224586,4414237
2075203,4286994,4228461,4409342
2075802,4283025,4228624,4412549
2076937,4287124,4228032,4407907
2074463,4283515,4230892,4411130
2075093,4285951,4230758,4408198
2074621,4284803,4227139,4413437
2074075,4287883,4225925,4412117
2074096,4283805,4228085,4414014
2075475,4284181,4227827,4412517
2073045,4287110,4231298,4408547
2074626,4287091,4227633,4410650
2073093,4285276,4228261,4413370
2075108,4287909,4226674,4410309
2074235,4283796,4229695,4412274
2075620,4285572,4226378,4412430
2074242,4285720,4229299,4410739
2076055,4286661,4227472,4409812
2073577,4285191,4227837,4413395
2077321,4285714,4224572,4412393
2076026,4285456,4226683,4411835
2075135,4289561,4228052,4407252
2073781,4282968,4229028,4414223
2072216,4286669,4230240,4410875
2075454,4287292,4227646,4409608
2076327,4286522,4225921,4411230
2076883,4285813,4224481,4412823
2073640,4286546,4227913,4411901
2074330,4286087,4227833,4411750
2075095,4286594,4228981,4409330
2074817,4283832,4228316,4413035
2074304,4284375,4227870,4413451
2075876,4285212,4224878,4414034
2074747,4287692,4229664,4407897
2075868,4284357,4226637,4413138
2072817,4283201,4232378,4411604
2075009,4284072,4230415,4410504
2077553,4284299,4228578,4409570
2075199,4286514,4228765,4409522
2075886,4287231,4226236,4410647
2073776,4284526,4228075,4413623
2073494,4286167,4228063,4412276
2072894,4285760,4229774,4411572
2075126,4284851,4228717,4411306
2075858,4285318,4232090,4406734
2076111,4286667,4228400,4408822
2074568,4287199,4224710,4413523
2074369,4284536,4231542,4409553
2073559,4289084,4229249,4408108
2075487,4287347,4227177,4409989
2074419,4285757,4228685,4411139
2074666,4284716,4229929,4410689
2075474,4283618,4229995,4410913
2075063,4286614,4225523,4412800
2076285,4283206,4230440,4410069
2076809,4285672,4228886,4408633
2072544,4286616,4226120,4414720
2073623,4288493,4226933,4410951
2073432,4282153,4232105,4412310
2073653,4287738,4229328,4409281
2073533,4287904,4226579,4411984
2073472,4286319,4228417,4411792
2074005,4284817,4228643,4412535
2073178,4284795,4231175,4410852
2075742,4286440,4227691,4410127
2072355,4287578,4228632,4411435
2073170,4284972,4228970,4412888
2073027,4289985,4228568,4408420
2074210,4288193,4226161,4411436
2075781,4284447,4228468,4411304
2073662,4286308,4227501,4412529
2077415,4286201,4225275,4411109
2072774,4287477,4226838,4412911
2073782,4284695,4230409,4411114
2072298,4287625,4231135,4408942
2073695,4282539,4228092,4415674
2076671,4285897,4228822,4408610
2075001,4289152,4227337,4408510
2074429,4287066,4224816,4413689
2075249,4283148,4227554,4414049
2074268,4286609,4230552,4408571
2075706,4285352,4228970,4409972
2075418,4283650,4227648,4413284
2076145,4285220,4230059,4408576
2074945,4286867,4227964,4410224
2073615,4283056,4229913,4413416
2073456,4286853,4225100,4414591
2074294,4283847,4229438,4412421
2074304,4286015,4226175,4413506
2074863,4283048,4231155,4410934
2076219,4284950,4227638,4411193
2074809,4284945,4232045,4408201
2072897,4285820,4229502,4411781
2073204,4288719,4229204,4408873
2073313,4288018,4228334,4410335
2076133,4286168,4223866,4413833
2074261,4289055,4226829,4409855
2074772,4287494,4227517,4410217
2075603,4282168,4230214,4412015
2074431,4284439,4230868,4410262
2075258,4284470,4230273,4409999
2074775,4286541,4230178,4408506
2076498,4282630,4228390,4412482
2074924,4287313,4226183,4411580
2072437,4285190,4230577,4411796
2075352,4288483,4226378,4409787
2073673,4285653,4230208,4410466
2075046,4284860,4228506,4411588
2073988,4285025,4231446,4409541
2075827,4286183,4231724,4406266
2075270,4285900,4225771,4413059
2075328,4282245,4231803,4410624
2075477,4282054,4230305,4412164
2075535,4284083,4228788,4411594
2073872,4287023,4229910,4409195
2075660,4283296,4227992,4413052
2075321,4287286,4224617,4412776
2073445,4288343,4227193,4411019
2074380,4286038,4228873,4410709
2071915,4287754,4230595,4409736
2071315,4291674,4226865,4410146
2075218,4285266,4225987,4413529
2071075,4285666,4232106,4411153
2075091,4284837,4228815,4411257
2072896,4287436,4226792,4412876
2072592,4288222,4228386,4410800
2073030,4285255,4228950,4412765
2071951,4289165,4224683,4414201
2074513,4289198,4227122,4409167
2073528,4287916,4228599,4409957
2075098,4284301,4227511,4413090
2074698,4284145,4230849,4410308
2075274,4285497,4227343,4411886
2075084,4287073,4225082,4412761
2074581,4283715,4225717,4415987
2071643,4285858,4228323,4414176
2075528,4283608,4229105,4411759
2075101,4283246,4226560,4415093
2072578,4287835,4227842,4411745
2073481,4286768,4226973,4412778
2073403,4288157,4224085,4414355
2074243,4283735,4229515,4412507
2075195,4282993,4230519,4411293
2074657,4288219,4231382,4405742
2074471,4286467,4225568,4413494
2073043,4286829,4229981,4410147
2073535,4286797,4227644,4412024
2072746,4283623,4231080,4412551
2075389,4287062,4226346,4411203
2076575,4285083,4226092,4412250
2075759,4283252,4229779,4411210
2074431,4285200,4228447,4411922
2074288,4284507,4229542,4411663
2072263,4288007,4225776,4413954
2073547,4287141,4228132,4411180
2076003,4284649,4230518,4408830
2076518,4284256,4230396,4408830
2075489,4282791,4227524,4414196
2073707,4284149,4227659,4414485
2071532,4287373,4231196,4409899
2072917,4286405,4230479,4410199
2074553,4287431,4229393,4408623
2071354,4284613,4231156,4412877
2073034,4289072,4226104,4411790
2075929,4286605,4224706,4412760
2074728,4288146,4226219,4410907
2075832,4286520,4229455,4408193
2074337,4285434,4224611,4415618
2074439,4285521,4228791,4411249
2072799,4288426,4227056,4411719
2074372,4284979,4231576,4409073
2075243,4283014,4228986,4412757
2075522,4286032,4228211,4410235
2074802,4288236,4227097,4409865
2071244,4288163,4228784,4411809
2074409,4285274,4229592,4410725
2072702,4284620,4228945,4413733
2072607,4285412,4230294,4411687
2076028,4287946,4229598,4406428
2073071,4288191,4227341,4411397
2074168,4286605,4227965,4411262
2076278,4283456,4230316,4409950
2074136,4287321,4225634,4412909
2072931,4287144,4228932,4410993
2075974,4285773,4224548,4413705
2073103,4284639,4227782,4414476
2073743,4285053,4229833,4411371
2075700,4284445,4228381,4411474
2072753,4283392,4230028,4413827
2072734,4285862,4230445,4410959
2076008,4286474,4226873,4410645
2073019,4287013,4227760,4412208
2073633,4285300,4228915,4412152
2072735,4285983,4229466,4411816
2074639,4288883,4227070,4409408
2073399,4289694,4224424,4412483
2074241,4285342,4228839,4411578
2074978,4287744,4226139,4411139
2075692,4283782,4228102,4412424
2073425,4286793,4227985,4411797
2076477,4286240,4228877,4408406
2072154,4286696,4229495,4411655
2074975,4289057,4229072,4406896
2073992,4286247,4227131,4412630
2076033,4284187,4228587,4411193
2074280,4283966,4230261,4411493
2072575,4284609,4227747,4415069
2071523,4287668,4229183,4411626
2075183,4283328,4228771,4412718
2074167,4285363,4228974,4411496
2074811,4282346,4228176,4414667
2075543,4285178,4226986,4412293
2074281,4280720,4234504,4410495
2075452,4285249,4227438,4411861
2077122,4283721,4225656,4413501
2074409,4284819,4229756,4411016
2074463,4287091,4231245,4407201
2073089,4287838,4229730,4409343
2075291,4287417,4228119,4409173
2075263,4283794,4227781,4413162
2076172,4284173,4228681,4410974
2074095,4286816,4229732,4409357
2072037,4287331,4229598,4411034
2071638,4285398,4230765,4412199
2076595,4285063,4227826,4410516
2074064,4286171,4229464,4410301
2075354,4282675,4232983,4408988
2075198,4286107,4228931,4409764
2075271,4283548,4230712,4410469
2075082,4283421,4228841,4412656
2072907,4285459,4230275,4411359
2074144,4285498,4226423,4413935
