0 strains,1 strain,2 strains,3 or more strains
2027069,4241349,4234215,4497367
2028805,4242925,4234879,4493391
2030379,4242449,4231857,4495315
2029737,4242037,4233287,4494939
2031594,4243780,4234815,4489811
2030144,4244182,4229033,4496641
2030395,4243862,4230889,4494854
2032274,4240463,4234252,4493011
2028523,4242547,4233238,4495692
2030503,4245282,4231197,4493018
2032595,4242426,4232224,4492755
2029038,4242512,4234811,4493639
2027167,4245031,4229926,4497876
2029134,4242082,4233168,4495616
2028506,4241405,4235446,4494643
2028838,4242290,4234132,4494740
2030484,4239744,4235056,4494716
2032336,4245026,4226665,4495973
2031733,4242095,4232318,4493854
2030330,4243734,4234292,4491644
2030419,4243390,4231473,4494718
2029209,4241896,4233481,4495414
2031352,4244811,4229645,4494192
2032605,4240891,4231738,4494766
2030476,4243594,4230911,4495019
2030363,4242142,4234972,4492523
2031155,4243093,4233882,4491870
2030719,4240897,4234025,4494359
2029810,4242319,4231108,4496763
2029488,4242609,4232956,4494947
2033092,4242535,4232713,4491660
2030128,4245608,4231774,4492490
2028878,4243312,4232382,4495428
2028548,4243760,4233929,4493763
2030029,4241500,4234013,4494458
2031227,4243936,4232566,4492271
2031331,4242701,4231018,4494950
2031202,4241580,4233144,4494074
2029899,4243368,4231156,4495577
2030955,4242372,4230131,4496542
2030387,4241447,4235817,4492349
2031341,4242226,4233272,4493161
2031811,4244752,4231764,4491673
2028759,4243214,4231621,4496406
2030346,4241170,4235117,4493367
2029033,4239412,4235939,4495616
2027918,4244642,4232143,4495297
2029202,4240629,4232514,4497655
2030379,4245858,4233573,4490190
2030079,4243854,4229601,4496466
2029272,4241421,4234740,4494567
2033432,4242745,4231942,4491881
2028748,4244128,4232288,4494836
2029587,4240495,4234807,4495111
2032740,4240179,4230832,4496249
2031286,4240593,4234249,4493872
2031314,4242684,4233151,4492851
2033735,4240522,4233316,4492427
2029409,4245798,4233095,4491698
2030195,4242012,4233900,4493893
2029692,4243781,4234985,4491542
2030728,4243619,4234491,4491162
2031035,4242019,4231206,4495740
2030964,4240046,4234532,4494458
2032569,4242289,4235007,4490135
2026885,4239638,4238296,4495181
2029167,4242461,4233899,4494473
2031180,4240483,4231757,4496580
2031080,4242486,4232883,4493551
2030487,4243165,4231741,4494607
2029828,4239346,4234754,4496072
2030337,4245290,4229068,4495305
2030035,4241334,4233156,4495475
2027419,4243241,4232369,4496971
2028138,4243045,4232380,4496437
2032272,4238920,4233154,4495654
2030318,4242185,4232745,4494752
2031136,4242954,4233566,4492344
2030283,4239556,4234821,4495340
2028202,4242536,4234775,4494487
2030570,4241406,4232154,4495870
2030083,4243827,4232483,4493607
2032245,4241246,4233554,4492955
2030787,4241293,4234065,4493855
2029639,4242736,4233222,4494403
2030401,4241040,4233005,4495554
2031646,4244113,4230881,4493360
2030456,4241395,4228334,4499815
2028403,4241582,4233065,4496950
2031413,4241645,4231642,4495300
2029520,4242584,4234323,4493573
2031728,4244349,4230903,4493020
2031887,4242164,4232924,4493025
2031384,4242631,4232734,4493251
2031168,4245269,4230237,4493326
2031738,4241007,4232277,4494978
2030143,4238966,4233357,4497534
2031270,4243000,4231745,4493985
2031704,4245818,4231758,4490720
2030685,4238072,4235777,4495466
2031194,4238298,4233812,4496696
2030270,4241475,4235217,4493038
2027087,4240741,4237220,4494952
2029789,4242391,4233634,4494186
2031642,4241534,4233858,4492966
2029139,4243810,4232446,4494605
2029227,4243880,4235500,4491393
2027751,4242308,4235616,4494325
2032009,4243556,4233090,4491345
2027652,4243493,4234486,4494369
2031630,4239745,4232446,4496179
2030282,4244211,4231039,4494468
2032604,4241231,4232163,4494002
2029877,4242499,4233391,4494233
2030577,4241344,4232814,4495265
2031684,4245501,4230268,4492547
2031093,4242764,4229281,4496862
2027973,4244644,4234771,4492612
2031393,4241583,4234578,4492446
2031650,4240640,4234802,4492908
2031988,4242665,4230151,4495196
2028458,4242633,4232158,4496751
2030295,4243053,4233028,4493624
2033097,4242803,4230367,4493733
2028617,4244720,4235119,4491544
2030690,4243578,4234545,4491187
2029401,4241744,4234258,4494597
2031896,4240409,4234146,4493549
2030243,4240866,4234945,4493946
2030409,4239889,4232582,4497120
2030565,4241671,4230744,4497020
2032486,4239067,4232774,4495673
2030727,4242822,4232343,4494108
2030702,4244543,4233079,4491676
2030249,4241372,4232644,4495735
2031355,4241427,4233406,4493812
2029718,4241935,4231280,4497067
2030107,4243939,4233944,4492010
2028604,4245011,4232664,4493721
2031781,4243595,4232414,4492210
2029202,4242905,4235131,4492762
2029668,4244670,4231798,4493864
2029804,4241585,4233009,4495602
2026102,4246343,4230915,4496640
2028583,4241957,4235161,4494299
2032895,4244045,4228846,4494214
2028353,4243339,4230924,4497384
2031420,4244740,4231521,4492319
2031987,4239420,4233159,4495434
2029910,4240088,4233902,4496100
2030996,4243429,4230045,4495530
2032611,4241825,4235195,4490369
2029602,4241298,4234898,4494202
2029718,4243222,4236068,4490992
2031960,4242839,4231827,4493374
2031479,4239984,4232957,4495580
2029592,4242411,4234984,4493013
2028093,4244040,4232607,4495260
2032509,4241977,4231049,4494465
2028737,4242618,4230990,4497655
2026890,4243898,4233263,4495949
2032310,4242592,4232005,4493093
2033306,4238401,4233390,4494903
2029339,4239695,4234543,4496423
2032845,4241595,4232015,4493545
2030602,4246329,4229841,4493228
2030106,4241682,4233800,4494412
2029177,4241952,4234675,4494196
2031257,4243030,4229547,4496166
2029063,4241230,4232676,4497031
2029904,4241579,4232297,4496220
2031159,4241095,4234374,4493372
2029045,4243620,4232402,4494933
2030033,4243908,4229908,4496151
2033187,4240970,4232424,4493419
2032255,4241832,4233095,4492818
2031409,4240915,4234336,4493340
2031650,4244359,4233101,4490890
2028891,4244472,4232703,4493934
2030756,4243911,4232251,4493082
2028266,4242223,4233091,4496420
2031932,4241667,4232496,4493905
2032416,4243070,4232288,4492226
2029069,4242399,4234481,4494051
2031549,4244885,4231761,4491805
2029354,4240003,4234549,4496094
2030515,4242580,4234404,4492501
2027312,4244166,4231674,4496848
2027840,4245927,4232387,4493846
2027374,4243974,4235539,4493113
2029441,4243148,4232845,4494566
2030069,4241000,4234244,4494687
2029790,4241798,4232397,4496015
2030888,4242213,4230986,4495913
2030704,4240098,4233438,4495760
2030840,4241476,4235240,4492444
2031387,4239455,4232356,4496802
2030948,4244065,4231227,4493760
2032442,4244217,4230640,4492701
2032322,4241580,4231272,4494826
2030249,4242545,4231439,4495767
2032017,4241380,4233912,4492691
2031561,4240571,4232096,4495772
2030978,4244771,4233889,4490362
2030850,4242341,4233942,4492867
2031015,4246309,4229369,4493307
2031352,4239451,4232413,4496784
2029505,4242781,4232880,4494834
2029434,4242722,4233208,4494636
2031408,4241805,4232071,4494716
2027774,4239850,4232908,4499468
2028485,4245855,4236458,4489202
2030006,4242103,4233904,4493987
2030968,4243743,4233051,4492238
2032669,4243367,4233582,4490382
2030989,4242567,4229075,4497369
2032455,4240824,4227611,4499110
2032062,4242398,4229085,4496455
2029151,4244039,4233722,4493088
2031181,4240257,4231650,4496912
2030989,4242444,4231241,4495326
2030584,4243581,4232144,4493691
2029134,4243706,4235369,4491791
2027540,4245162,4234409,4492889
2030598,4243006,4231622,4494774
2031997,4241323,4234065,4492615
2031484,4241191,4232417,4494908
2028750,4245336,4231470,4494444
2028511,4243715,4232716,4495058
2029460,4241350,4234603,4494587
2030379,4239907,4231793,4497921
2028576,4240738,4235149,4495537
2030500,4241414,4232411,4495675
2030107,4239528,4233267,4497098
2031917,4239504,4235642,4492937
2032810,4241376,4232922,4492892
2032925,4240965,4233926,4492184
2029897,4240685,4231975,4497443
2029966,4246144,4231438,4492452
2032382,4243273,4231889,4492456
2030854,4242005,4230701,4496440
2030564,4241453,4234935,4493048
2030273,4243334,4229999,4496394
2031868,4241153,4232074,4494905
2031116,4244027,4233065,4491792
2029344,4241727,4233147,4495782
2032299,4241696,4232428,4493577
2031771,4241641,4233987,4492601
2030569,4244548,4236037,4488846
2030477,4239763,4235477,4494283
2029185,4243084,4233064,4494667
2029795,4243497,4230919,4495789
2028973,4243941,4231862,4495224
2029521,4243236,4230017,4497226
2030861,4239567,4234286,4495286
2030943,4238961,4233479,4496617
2029512,4241649,4234599,4494240
2028192,4243751,4234825,4493232
2028956,4241363,4231783,4497898
2034455,4244241,4230790,4490514
2031330,4242803,4233060,4492807
2029081,4242536,4235330,4493053
2029149,4243420,4231141,4496290
2030082,4242363,4231232,4496323
2028590,4245526,4231632,4494252
2029963,4242996,4234191,4492850
2030407,4242843,4231777,4494973
2030495,4242522,4235037,4491946
2031244,4240148,4231790,4496818
2030671,4242351,4232233,4494745
2028858,4243979,4232608,4494555
2030554,4238709,4234310,4496427
2029666,4242019,4235269,4493046
2027936,4245419,4234254,4492391
2031314,4242535,4233271,4492880
2031767,4243966,4230878,4493389
2030250,4243790,4231642,4494318
2031596,4244204,4234668,4489532
2029243,4241567,4231049,4498141
2030562,4246544,4229248,4493646
2029655,4242749,4234235,4493361
2029884,4243149,4235204,4491763
2031274,4242222,4232190,4494314
2033355,4242189,4230721,4493735
2027582,4243423,4234214,4494781
2032215,4243048,4231493,4493244
2030709,4242930,4234007,4492354
2029590,4243169,4231463,4495778
2032857,4241138,4233819,4492186
2031673,4241317,4232280,4494730
2031080,4240037,4235417,4493466
2033940,4239524,4232897,4493639
2029804,4239726,4233651,4496819
2031436,4241382,4232923,4494259
2030402,4243424,4230537,4495637
2029723,4241529,4236216,4492532
2031816,4238264,4234733,4495187
2031523,4239882,4233927,4494668
2030761,4241024,4235958,4492257
2030327,4242036,4231702,4495935
2028676,4241798,4232248,4497278
2027790,4239826,4238060,4494324
